tempo,rms,spectral_centroid,spectral_bandwidth,zcr,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,chroma,contrast,tonnetz,onset,genre
[143.5546875],0.0887535,1472.4313877803754,1973.569777061217,0.0633571376741486,-255.70197,102.263275,-1.7398119,11.378146,12.804158,0.2506975,24.219258037647112,-0.009024793432159487,1.7370887,electronic
[117.45383523],0.30139878,1927.1826234177765,2552.4910277364306,0.04517848720491486,-113.89705,86.47937,29.0013,25.211372,16.82479,0.5605,21.462605624774653,-0.0037533559094881045,2.749214,electronic
[112.34714674],0.17788167,1883.6141504914297,1938.899209479953,0.08059739623645511,-120.14949,112.8162,0.4899668,15.669287,-1.522867,0.3432687,22.89602775824137,0.08144153553782334,1.750164,electronic
[107.66601562],0.06373023,1741.3442521682261,1404.6552698910532,0.1017299215121904,-314.31906,125.52265,46.66833,18.021072,-7.467113,0.31433377,24.26319691898285,0.10220246791501293,0.91517514,electronic
[95.703125],0.22102655,1995.8544882686654,2260.1448198766507,0.07375352227650929,-85.110016,104.87157,1.141226,20.060093,8.234841,0.5035838,20.86307722997096,-0.0028684273247567517,1.7686357,electronic
[135.99917763],0.18067259,337.7622144390605,557.428346483724,0.01801047310371517,-334.79053,152.4954,59.251137,27.827421,11.970426,0.44349137,22.418429652555652,-0.02530496221440003,1.6054523,electronic
[83.35433468],0.033762373,593.441967757912,741.2415186309219,0.03285618832236842,-353.70142,169.84044,27.583784,-4.546851,10.652052,0.38102534,24.3159354677416,0.09681013183911448,0.73159385,electronic
[123.046875],0.12517104,1371.1530119829745,1349.0894750851464,0.05948905826722136,-206.95297,155.85909,13.044592,-2.204205,-5.3454204,0.24104275,24.254471745102926,-0.1646894379891029,1.2732341,electronic
[117.45383523],0.25301605,1720.4265413071485,2047.4963145285915,0.06301700367647059,-105.519714,115.03442,-19.469362,15.908482,-6.3228135,0.483129,21.201136357463803,0.060789749070436584,1.959418,electronic
[135.99917763],0.2749326,2544.2126660807953,2692.613463541471,0.075186620186726,-62.245693,67.80759,1.5919137,17.886337,7.072099,0.5519221,20.64700226253262,0.012653749699254223,1.8141882,electronic
[129.19921875],0.16806872,1634.2044546356185,1987.490521545039,0.05483678103231424,-164.7533,115.053406,-0.26625633,17.8516,-0.7703087,0.3517221,22.830999120495324,0.027803334242270713,1.2685491,electronic
[117.45383523],0.14809473,1423.8885595487072,1966.9902733583858,0.04331190741099071,-159.69102,131.11548,10.252092,26.371275,4.3349633,0.41940022,22.5725008557543,0.0247814296083065,1.7885154,electronic
[83.35433468],0.16097638,929.057919826728,1060.483550917623,0.04194305703366873,-224.06596,169.69386,-12.339382,12.960491,3.7946196,0.2778608,25.59394766382269,0.017945703039688562,1.6527916,electronic
[123.046875],0.119482085,2861.13665172874,2433.0769783765973,0.15433202217976005,-151.92424,59.061085,-3.2089496,30.495417,1.667897,0.6107101,19.99725970707017,-0.010719723577256797,2.1617582,electronic
[103.359375],0.12171191,1418.7642081532258,1717.6046016185562,0.06707858153541021,-155.65967,119.23752,-29.31948,34.22535,16.336912,0.39260432,27.666041373960752,-0.0564891629862519,0.9600523,electronic
[99.38401442],0.2462384,2393.096141325599,2694.0536141544385,0.0792036026993034,-108.672295,72.06703,16.672403,25.631092,17.237986,0.5441698,20.766242677601277,0.0037949258952414246,2.2298315,electronic
[86.1328125],0.12511888,2374.034011961089,2102.8881657617203,0.16862218520220587,-147.44048,85.367455,-6.444514,62.873295,4.387973,0.58114916,20.156873098119785,0.002649045481521978,2.3571117,electronic
[151.99908088],0.12968256,388.1342963312524,422.6528423932691,0.023034252249419504,-352.33737,156.75954,43.99507,3.838561,-3.7942152,0.289,28.555310863012007,0.10016370160223016,0.74465555,electronic
[143.5546875],0.057518926,1594.572636073553,1419.809989332381,0.10730736322078173,-244.68842,154.8513,-38.481884,-9.33549,-15.147259,0.32214516,27.441531433012837,-0.0018226202446529852,1.0498604,electronic
[123.046875],0.2613628,1503.3122319421036,1847.6177478925097,0.06023999854876161,-82.902596,138.02808,-13.235109,10.814054,-4.410036,0.32893744,24.8266777115002,0.08047771569777608,1.4688232,electronic
